                                                                                           ,,,"Spring 2025 Final Exam Schedule
Updated April 30, 2025",,,,,
"Note: If you have a conflict, please speak to your instructors. All conflicts must be resolved between the instructors and the student.",,,,,,,,
"To filter data, click the drop-down arrow on the column you want to filter: 
- Use the search box to find specific values.
- Check or uncheck boxes next to the values you want to filter.
- Select ""Add current selection to filter"" to add to your class list.
If you can't find your class, try typing the first few letters, and it should show up in the filter selection.",,,,,,,,
,,,,,,,,
Session,Class,Course Title,Instructor,Date,Start Time,End Time,Building & Room,Campus
Spring 2025,ARCH 325 W02,Environmental Systems II,Lantigua Inoa,"Wednesday, May 14, 2025",5:30 PM,8:30 PM,"Education Hall, Rm. 102",Long Island
Spring 2025,ARCH 325 W03,Environmental Systems II,Snell,"Wednesday, May 14, 2025",8:15 AM,10:15 AM,"Education Hall, Rm. 138",Long Island
Spring 2025,ARCH 326 M01,Fndtion of AI Gen & Creativity,Melis,"Monday, May 12, 2025",8:15 AM,10:15 AM,Zoom,New York City
Spring 2025,ARCH 327 M21,Comp Aided Con Drwgs,Van Nest,"Wednesday, May 14, 2025",3:00 PM,5:00 PM,"Guiliano Global Ctr., Rm. 501",New York City
Spring 2025,ARCH 327 M23,Comp Aided Con Drwgs,Soniprasad,"Wednesday, May 14, 2025",5:30 PM,8:30 PM,"Guiliano Global Ctr., Rm. 702",New York City
Spring 2025,ARCH 327 W01,Comp Aided Con Drwgs,Gati,"Thursday, May 15, 2025",12:45 PM,2:45 PM,Zoom,Long Island
Spring 2025,ARCH 361 M01,Arch Hist Sem,Vossoughian,"Wednesday, May 14, 2025",3:00 PM,5:00 PM,"26 W. 61st St., Rm. 314",New York City
Spring 2025,ARCH 361 M02,Arch Hist Sem,Justo Caldeira Zuliani,"Wednesday, May 14, 2025",3:00 PM,5:00 PM,"Guiliano Global Ctr., Rm. 406",New York City
Spring 2025,ARCH 361 M03,Arch Hist Sem,Jung,"Wednesday, May 14, 2025",3:00 PM,5:00 PM,"16 W. 61st St., Rm. 1029",New York City
Spring 2025,ARCH 361 M04,Arch Hist Sem,Karahan,"Wednesday, May 14, 2025",3:00 PM,5:00 PM,"Guiliano Global Ctr., Rm. 1120",New York City
